,Rank,Country Code,Country/Territory,Capital,Continent,2023 Population,2022 Population,2021 Population,2020 Population,2015 Population,2010 Population,2000 Population,Area (km²),Density (per km²),Growth Rate (2023),World Population Percentage (2023)
81,191,GUM,Guam,Hagåtña,Oceania,"172,952",171774,"171,041",169231,167978,164905,160188,549,312.8852,0.69%,0%
82,68,GTM,Guatemala,Guatemala City,North America,"18,040,542",17843908,"18,446,417",17362718,16001107,14543121,11735894,108889,163.8725,1.39%,0.23%
83,207,GGY,Guernsey,Saint Peter Port,Europe,,63301,,62794,61629,60782,59114,78,811.5513,,
84,75,GIN,Guinea,Conakry,Africa,"14,122,396",13859341,"13,709,966",13205153,11625998,10270728,8336967,245857,56.3716,2.39%,0.18%
85,149,GNB,Guinea-Bissau,Bissau,Africa,,2105566,,2015828,1788919,1567220,1230849,36125,58.2856,,
86,164,GUY,Guyana,Georgetown,South America,"812,547",808726,"792,481",797202,755031,747932,759051,214969,3.7621,0.63%,0.01%
87,82,HTI,Haiti,Port-au-Prince,North America,"11,695,803",11584996,"11,623,799",11306801,10563757,9842880,8360225,27750,417.4773,1.21%,0.15%
88,89,HND,Honduras,Tegucigalpa,North America,"10,559,690",10432860,"10,156,097",10121763,9294505,8450933,6656725,112492,92.7431,1.54%,0.13%
89,104,HKG,Hong Kong,Hong Kong,Asia,"7,490,322",7488865,"7,585,785",7500958,7399838,7132438,6731195,1104,6783.3922,0.04%,0.09%
90,94,HUN,Hungary,Budapest,Europe,"10,192,921",9967308,"9,618,215",9750573,9844246,9986825,10202055,93028,107.1431,1.9%,0.13%
91,179,ISL,Iceland,Reykjavík,Europe,"374,674",372899,"344,646",366669,331060,318333,281462,103000,3.6204,0.65%,0%
92,2,IND,India,New Delhi,Asia,"1,425,935,059",1417173173,"1,401,310,563",1396387127,1322866505,1240613620,1059633675,3287590,431.0675,0.81%,17.85%
93,4,IDN,Indonesia,Jakarta,Asia,"277,066,263",275501339,"278,037,263",271857970,259091970,244016173,214072421,1904569,144.6529,0.74%,3.47%
94,17,IRN,Iran,Tehran,Asia,"89,038,909",88550570,"85,627,052",87290193,81790841,75373855,65544383,1648195,53.7258,0.7%,1.11%
95,35,IRQ,Iraq,Baghdad,Asia,"45,297,338",44496122,"41,750,703",42556984,37757813,31264875,24628858,438317,101.5158,2.27%,0.57%
96,125,IRL,Ireland,Dublin,Europe,"5,049,856",5023109,"5,008,554",4946119,4665760,4524585,3768950,70273,71.4799,0.67%,0.06%
97,202,IMN,Isle of Man,Douglas,Europe,,84519,,84046,83593,83828,75562,572,147.7605,,
98,98,ISR,Israel,Jerusalem,Asia,"9,146,847",9038309,"8,868,656",8757489,8007778,7328445,6116958,20770,435.1617,1.51%,0.11%
99,25,ITA,Italy,Rome,Europe,"58,905,514",59037474,"60,320,493",59500579,60232906,59822450,56966397,301336,195.9191,-0.28%,0.74%
100,52,CIV,Ivory Coast,Yamoussoukro,Africa,"28,725,018",28160542,"27,451,054",26811790,23596741,21120042,16799670,322463,87.3295,2.53%,0.36%
101,139,JAM,Jamaica,Kingston,North America,"2,825,544",2827377,"2,980,575",2820436,2794445,2733896,2612205,10991,257.2447,-0.06%,0.04%
102,11,JPN,Japan,Tokyo,Asia,"123,429,015",123951692,"125,802,521",125244761,127250933,128105431,126803861,377930,327.9753,-0.53%,1.54%
103,195,JEY,Jersey,Saint Helier,Europe,,110778,,108319,100561,96151,86192,116,954.9828,,
104,83,JOR,Jordan,Amman,Asia,"11,328,042",11285869,"10,322,902",10928721,9494246,6931258,5056174,89342,126.3221,0.45%,0.14%
105,66,KAZ,Kazakhstan,Nursultan,Asia,"19,563,515",19397998,"19,123,199",18979243,17835909,16627837,15236253,2724900,7.1188,1.08%,0.24%
106,27,KEN,Kenya,Nairobi,Africa,"54,877,918",54027487,"55,703,607",51985780,46851488,41517895,30851606,580367,93.0919,1.99%,0.69%
107,192,KIR,Kiribati,Tarawa,Oceania,"132,871",131232,"122,470",126463,116707,107995,88826,811,161.815,1.74%,0%
108,129,KWT,Kuwait,Kuwait City,Asia,"4,301,742",4268873,"4,366,698",4360444,3908743,2943356,1934901,17818,239.5821,0.97%,0.05%
109,110,KGZ,Kyrgyzstan,Bishkek,Asia,"6,714,110",6630623,"6,689,349",6424874,5914980,5483774,4935182,199951,33.1612,1.58%,0.08%
110,103,LAO,Laos,Vientiane,Asia,"7,612,542",7529475,"7,439,920",7319399,6787419,6323418,5430853,236800,31.7968,1.39%,0.1%
111,151,LVA,Latvia,Riga,Europe,"1,834,072",1850651,"1,855,735",1897052,1991955,2101530,2392530,64559,28.666,-1.1%,0.02%
112,119,LBN,Lebanon,Beirut,Asia,"5,382,890",5489739,"6,752,766",5662923,6398940,4995800,4320642,10452,525.2334,-2.47%,0.07%
113,147,LSO,Lesotho,Maseru,Africa,"2,325,170",2305825,"2,169,209",2254100,2118521,2022747,1998630,30355,75.962,1.06%,0.03%
114,121,LBR,Liberia,Monrovia,Africa,"5,394,566",5302681,"5,252,834",5087584,4612329,4019956,2895224,111369,47.6136,2.18%,0.07%
115,107,LBY,Libya,Tripoli,Africa,"6,872,943",6812341,"7,007,887",6653942,6192235,6491988,5154790,1759540,3.8717,1.12%,0.09%
116,216,LIE,Liechtenstein,Vaduz,Europe,"39,584",39327,"38,250",38756,37355,35926,33026,160,245.7937,0.65%,0%
117,141,LTU,Lithuania,Vilnius,Europe,"2,723,500",2750055,"2,670,680",2820267,2963765,3139019,3599637,65300,42.1142,-1.15%,0.03%
118,168,LUX,Luxembourg,Luxembourg,Europe,"653,481",647599,"640,202",630399,569408,507070,435628,2586,250.425,1.11%,0.01%
119,167,MAC,Macau,Concelho de Macau,Asia,"702,218",695168,"663,998",676283,615239,557297,431896,30,23172.2667,1.29%,0.01%
120,50,MDG,Madagascar,Antananarivo,Africa,"30,177,716",29611714,"28,860,961",28225177,24850912,21731053,16216431,587041,50.4423,2.41%,0.38%
121,62,MWI,Malawi,Lilongwe,Africa,"20,822,991",20405317,"19,953,296",19377061,16938942,14718422,11229387,118484,172.22,2.58%,0.26%
122,45,MYS,Malaysia,Kuala Lumpur,Asia,"34,233,873",33938221,"33,015,425",33199993,31068833,28717731,22945150,330803,102.5934,1.09%,0.43%
123,174,MDV,Maldives,Malé,Asia,"521,665",523787,"546,203",514438,435582,361575,282507,300,1745.9567,-0.53%,0.01%
124,59,MLI,Mali,Bamako,Africa,"23,148,900",22593590,"21,212,426",21224040,18112907,15529181,11239101,1240192,18.2178,3.1%,0.29%
